comment_text,emotion,fan_type_discovered,cluster
"""look at you ,now look at me""

yes im looking at you rn",neutral,visual-focused,1
"Não existe uma melhor que a outra, elas brilham juntas.",neutral,content-focused,3
"YG : how many hairstyles & hair colour do you want to get in mv?

Lisa : Yes.",neutral,content-focused,3
blackpink comeback with jump sent me back to this comeback. hylt was revolutionary,neutral,content-focused,3
BLACKPINK IN YOUR AREA will forever be an iconic intro...,neutral,content-focused,3
HOY SE LLEGA A LOS 900 MILLONES ¡VAMOS QUE SE PUEDE!,neutral,content-focused,3
Donde esta todo el fandom Blink??? Solo veo a latinoamericanas apoyando,neutral,content-focused,3
"it's already jump era,but i am still not over this masterpiece after 5 years,blink forever!",neutral,content-focused,3
Can anyone tell me when they will start promoting on music shows and what shows...,neutral,content-focused,3
"Mucho talento, perfección y belleza para mis ojos.",neutral,content-focused,3
"Lisa and Jennie: ""look at you now look at me"" 

Me: I know I am a potato you don't have to call me out like that",neutral,visual-focused,1
"Whos here after JUMP ?
The vibe and nostalgia this song brings is unmatchable . We are never gonna get an amazing song like HYLT blackpink are legends !!",nostalgic,content-focused,3
Yay the come back is finnaly here and I LOVED it <3,neutral,content-focused,3
"YG: How many wigs do you want?

Blackpink: Yes.",neutral,content-focused,3
Blinks de Latinoamérica vamos a darle el billón a HYLT,neutral,content-focused,3
"오 나의 소녀들, 정말 추억이네요 😭😭😭🖇️✨💋💗",neutral,content-focused,3
"2025,누가 보 고 잇ㅅ 니",neutral,content-focused,3
"0:41 Rosie, you're so cute",neutral,content-focused,3
"my brain: how many times you're going to click that replay?
me: yes",addictive,content-focused,3
"a masterpiece that all people not gonna forget
*BLACKPINK FOREVER*
*BLACKPINK IS THE REVOLUTIONS*",neutral,content-focused,3
"KEEP STR3AMING BLINKS!!
SPOTIFY TOO!!!",neutral,content-focused,3
bruh my head is now repeating “doom doo du dodo do doom” over and over again,neutral,content-focused,3
The nostalgia I got after listening this song is,nostalgic,content-focused,3
이게 벌써 5년 전이라고??,neutral,content-focused,3
"2:12 - Rosé: ""the day i fell without my wings""
I knew youre an angel",neutral,content-focused,3
cada vez estamos mas cerca vamos blinks,neutral,content-focused,3
yow this one a diss track for them haters lmao and we see this slaps because they’re so mad,neutral,content-focused,3
This is always Iconic. 5 yrs but I'll always in awe.,neutral,content-focused,3
"When its starting to premiere and it blacked out
Me panickingggg: wHAATTTTTTTTTT",neutral,content-focused,3
Now I understand why did jisoo said that boombayah “botta bing botta boom” is a hint,neutral,content-focused,3
"ya escuché tantas veces y no me aburre, se sigue sintiendo como si se hubiese estrenado recién aaaa, en fin, Blackpink tus patronas",neutral,content-focused,3
For me HYLT MV remains as the most artistic and cinematic BP mv! The sets are literally so amazing!,neutral,content-focused,3
the “that that that that” reminds me of skz in double knot with the “da da da da”,neutral,content-focused,3
"HYLT: ""Look at you now look at me""
KTL: ""Look at me, look at you""",neutral,visual-focused,1
"Nosotros podemos, hagan esfuerzo por BLACKPINK!",neutral,content-focused,3
THE QUEENS ARE BACK !!!!,neutral,content-focused,3
"""Look at you, look at me""
That line was also in Kill this love
And now its heree tooo . WOW",neutral,visual-focused,1
"Este grupo es de lo mejor llevo días escuchando esta música 
Son genial 
Arriba BLINK!!!!!!!!!",neutral,content-focused,3
"“look at you now look at me”
ok queen",neutral,visual-focused,1
I love this song 💖💖💖,neutral,content-focused,3
ya ha pasado un año desde que salió esta canción y cada vez que la escucho es como si la estuviera escuchando por primera vez,neutral,content-focused,3
Guys let’s break the record juice ayo.  Edit: OMG WE DID IT WE DID IT WE DID IT,neutral,content-focused,3
"BLINKS, VAMOS!!!!
VAMOS MOSTRAR AOS ANTIS QUEM É O MAIOR GG DO KPOP!!!!
1B EM HYLT E 2B EM D4!!!",neutral,content-focused,3
"BLACKPINK IN YOUR AREA, a slogan that will never be forgotten❤.",neutral,content-focused,3
"Finally PUBGM X Blackpink 
Now enjoy in lobby!!!!!",neutral,content-focused,3
"We broke the last record AHHH already have 79 million, congratulations blink
Edit: we should broke the new record, go go go blink",neutral,content-focused,3
"""Yesterday is a History""
""Tomorrow is a Mystery""
""Today is a Gift thats why we call it as Present'
Let's Make HYLT 1.B BEFORE 1st Year Anniversary!!!!
BLACKPINK IS THE REVOLUTION!",neutral,content-focused,3
''blackpink in your area'' will always forever be in my heart,neutral,content-focused,3
"Me: _sees an ad_ *don't skip, don't skip!!*",neutral,content-focused,3
"Lisa  : Look at Me
Me : Yes im looking at you my queen",neutral,visual-focused,1
Se mueven más las vistas del dance practice que el M/V,neutral,content-focused,3
Love Blackpink❤,neutral,content-focused,3
BLINKS SOLO AUMENTAMOS 2 MILLONES QUE PASOOOOO SIGAMOS HACIEMDO STR34M,neutral,content-focused,3
""" *BA DA BING BA DA BOOM BOOM BOOM* ""
- Blackpink, June 26th 2020",neutral,content-focused,3
"No one:
Literally no one:
Not even Lisa's bangs:

Blink's : BaDaMinG BaDabONg boOm BoOm",neutral,content-focused,2
MY QUEENS!!! NO ONE CAN COME CLOSE TO BLACKPINKKKKKK,neutral,content-focused,2
"VAMOS BLINKS NOSOTR@S PODEMOS NO SEAMOS “BLONKS” LAS CHICAS SE LO MERECEN VAMOS A TENER CINCO MV CON MÁS DE UN BILLÓN!! VAMOS NOSOTROS PODEMOS POR QUE AMAMOS A LAS CHICAS NO SEAMOS UN FANDOM FALSO QUE NO APOYA,APOYEMOS A NUESTRAS REINAS!,",neutral,content-focused,3
"vamos blinks que esperan, avisen a las demás blinks, que no estan enteradas, sigamos avanzando",neutral,content-focused,3
"BLINKS ÚLTIMAMENTE EH ESTADO VIENDO MUCHOS COMENTARIOS EN ESPAÑOL, LATINOAMÉRICA ARRASANDO<3",neutral,content-focused,3
This was the first song i heard from.Blackpink... still is legendary,neutral,content-focused,3
BLACKPINK grabs another record as 'How You Like That' becomes the fastest Kpop Girl Group MV to hit 900M views on youtube.,neutral,song-reference-focused,0
"FALTA MUY POCO PARA EL 1B, VAMOS BLINKS, POR LAS CHICAS, BLACKPINK IS REVOLUTION
BLACKPINK IN YOUR AREA !!",neutral,content-focused,3
"""look at you now look at me""

Blackpink you don't need make us feel more potato than we already are!!!",neutral,visual-focused,1
"This is so nostalgic🥺💖

Old is diamond💎🎀......",neutral,content-focused,3
"Words cannot describe how much I like this song, it's a pity that songs are no longer released 🥹",neutral,content-focused,3
"Encerio, pongan empeño realmente tenemos que llegar al Billón no perdamos las esperanzas, y si no completamos al menos lo intentamos",neutral,content-focused,3
We’ve almost hit 50M in 10 hours blinks! This is an amazing achievement - BE PROUD,neutral,content-focused,3
I'm in love with this mv so much.. so I came back to watch it again!,neutral,content-focused,3
"1st listhen: okay....
2nd listen: badabing badabing
3rd listen: LOOK AT YOU NOW LOOK AT ME",neutral,visual-focused,1
"1 second of the video plays:
me: ISSA BOP",neutral,content-focused,3
"director: ""how many umbrellas?""
jennie: ""yes""",neutral,content-focused,3
Are we not gonna ignore the Visuals? Amazing.,neutral,content-focused,3
"《BLINK'S HACIENDO STR3AM PARA EL BILLÓN 》
AQUÍ 《INSERTE LIKE》",neutral,content-focused,3
"*""LOOK AT YOU, NOW LOOK AT ME""* 
ME: JUST LOOKING AT THEM AT AWE",neutral,visual-focused,1
"My bestfriend and I after quarantine

""LoOk aT MeE NoW LoOk At YoUu""",neutral,visual-focused,1
I love you blakpink ❤❤❤,neutral,content-focused,3
"""HOW YOU LIKE THAT""
""NA DEUL SSET""

I LIKE PART",neutral,song-reference-focused,0
"Hay que hacerlo por las chicas, para que estén felices y tengan su 5° MV con un billón antes de su aniversario.",neutral,content-focused,3
ROSE ! “ITS A BIRD... ITS A PLANE” ICONIC.,neutral,content-focused,3
Blackpink gonna kick off their deadline world tour this month !!! 🔥,neutral,content-focused,3
HOW YOU LİKE THAT,neutral,song-reference-focused,0
