comment_text,emotion,fan_type
"""look at you ,now look at me""

yes im looking at you rn",neutral,visual-focused
"Não existe uma melhor que a outra, elas brilham juntas.",neutral,general-praise
"YG : how many hairstyles & hair colour do you want to get in mv?

Lisa : Yes.",neutral,visual-focused
blackpink comeback with jump sent me back to this comeback. hylt was revolutionary,neutral,general-praise
BLACKPINK IN YOUR AREA will forever be an iconic intro...,neutral,general-praise
HOY SE LLEGA A LOS 900 MILLONES ¡VAMOS QUE SE PUEDE!,neutral,general-praise
Donde esta todo el fandom Blink??? Solo veo a latinoamericanas apoyando,neutral,general-praise
"it's already jump era,but i am still not over this masterpiece after 5 years,blink forever!",neutral,general-praise
Can anyone tell me when they will start promoting on music shows and what shows...,neutral,content-focused
"Mucho talento, perfección y belleza para mis ojos.",neutral,general-praise
"Lisa and Jennie: ""look at you now look at me"" 

Me: I know I am a potato you don't have to call me out like that",neutral,visual-focused
"Whos here after JUMP ?
The vibe and nostalgia this song brings is unmatchable . We are never gonna get an amazing song like HYLT blackpink are legends !!",nostalgic,content-focused
Yay the come back is finnaly here and I LOVED it <3,neutral,general-praise
"YG: How many wigs do you want?

Blackpink: Yes.",neutral,general-praise
Blinks de Latinoamérica vamos a darle el billón a HYLT,neutral,general-praise
"오 나의 소녀들, 정말 추억이네요 😭😭😭🖇️✨💋💗",neutral,general-praise
"2025,누가 보 고 잇ㅅ 니",neutral,general-praise
"0:41 Rosie, you're so cute",neutral,visual-focused
"my brain: how many times you're going to click that replay?
me: yes",addictive,general-praise
"a masterpiece that all people not gonna forget
*BLACKPINK FOREVER*
*BLACKPINK IS THE REVOLUTIONS*",neutral,general-praise
"KEEP STR3AMING BLINKS!!
SPOTIFY TOO!!!",neutral,general-praise
bruh my head is now repeating “doom doo du dodo do doom” over and over again,neutral,general-praise
The nostalgia I got after listening this song is,nostalgic,content-focused
이게 벌써 5년 전이라고??,neutral,general-praise
"2:12 - Rosé: ""the day i fell without my wings""
I knew youre an angel",neutral,general-praise
cada vez estamos mas cerca vamos blinks,neutral,general-praise
yow this one a diss track for them haters lmao and we see this slaps because they’re so mad,neutral,content-focused
This is always Iconic. 5 yrs but I'll always in awe.,neutral,general-praise
"When its starting to premiere and it blacked out
Me panickingggg: wHAATTTTTTTTTT",neutral,general-praise
Now I understand why did jisoo said that boombayah “botta bing botta boom” is a hint,neutral,general-praise
"ya escuché tantas veces y no me aburre, se sigue sintiendo como si se hubiese estrenado recién aaaa, en fin, Blackpink tus patronas",neutral,general-praise
For me HYLT MV remains as the most artistic and cinematic BP mv! The sets are literally so amazing!,neutral,general-praise
the “that that that that” reminds me of skz in double knot with the “da da da da”,neutral,general-praise
"HYLT: ""Look at you now look at me""
KTL: ""Look at me, look at you""",neutral,visual-focused
"Nosotros podemos, hagan esfuerzo por BLACKPINK!",neutral,general-praise
THE QUEENS ARE BACK !!!!,neutral,general-praise
"""Look at you, look at me""
That line was also in Kill this love
And now its heree tooo . WOW",neutral,visual-focused
"Este grupo es de lo mejor llevo días escuchando esta música 
Son genial 
Arriba BLINK!!!!!!!!!",neutral,general-praise
"“look at you now look at me”
ok queen",neutral,visual-focused
I love this song 💖💖💖,neutral,content-focused
ya ha pasado un año desde que salió esta canción y cada vez que la escucho es como si la estuviera escuchando por primera vez,neutral,general-praise
