comment_text,emotion,fan_type
"""look at you ,now look at me""

yes im looking at you rn",neutral,visual-lover
"Não existe uma melhor que a outra, elas brilham juntas.",neutral,visual-lover
"YG : how many hairstyles & hair colour do you want to get in mv?

Lisa : Yes.",neutral,unclear
blackpink comeback with jump sent me back to this comeback. hylt was revolutionary,neutral,visual-lover
BLACKPINK IN YOUR AREA will forever be an iconic intro...,neutral,visual-lover
HOY SE LLEGA A LOS 900 MILLONES ¡VAMOS QUE SE PUEDE!,neutral,lyrics-lover
Donde esta todo el fandom Blink??? Solo veo a latinoamericanas apoyando,neutral,unclear
"it's already jump era,but i am still not over this masterpiece after 5 years,blink forever!",neutral,unclear
Can anyone tell me when they will start promoting on music shows and what shows...,neutral,unclear
"Mucho talento, perfección y belleza para mis ojos.",neutral,visual-lover
"Lisa and Jennie: ""look at you now look at me"" 

Me: I know I am a potato you don't have to call me out like that",neutral,visual-lover
"Whos here after JUMP ?
The vibe and nostalgia this song brings is unmatchable . We are never gonna get an amazing song like HYLT blackpink are legends !!",nostalgic,unclear
Yay the come back is finnaly here and I LOVED it <3,neutral,unclear
"YG: How many wigs do you want?

Blackpink: Yes.",neutral,unclear
Blinks de Latinoamérica vamos a darle el billón a HYLT,neutral,lyrics-lover
"오 나의 소녀들, 정말 추억이네요 😭😭😭🖇️✨💋💗",neutral,unclear
"2025,누가 보 고 잇ㅅ 니",neutral,unclear
"0:41 Rosie, you're so cute",neutral,visual-lover
"my brain: how many times you're going to click that replay?
me: yes",addictive,unclear
"a masterpiece that all people not gonna forget
*BLACKPINK FOREVER*
*BLACKPINK IS THE REVOLUTIONS*",neutral,lyrics-lover
"KEEP STR3AMING BLINKS!!
SPOTIFY TOO!!!",neutral,visual-lover
bruh my head is now repeating “doom doo du dodo do doom” over and over again,neutral,unclear
The nostalgia I got after listening this song is,nostalgic,unclear
이게 벌써 5년 전이라고??,neutral,unclear
"2:12 - Rosé: ""the day i fell without my wings""
I knew youre an angel",neutral,lyrics-lover
cada vez estamos mas cerca vamos blinks,neutral,lyrics-lover
yow this one a diss track for them haters lmao and we see this slaps because they’re so mad,neutral,lyrics-lover
This is always Iconic. 5 yrs but I'll always in awe.,neutral,visual-lover
"When its starting to premiere and it blacked out
Me panickingggg: wHAATTTTTTTTTT",neutral,unclear
Now I understand why did jisoo said that boombayah “botta bing botta boom” is a hint,neutral,lyrics-lover
"ya escuché tantas veces y no me aburre, se sigue sintiendo como si se hubiese estrenado recién aaaa, en fin, Blackpink tus patronas",neutral,unclear
For me HYLT MV remains as the most artistic and cinematic BP mv! The sets are literally so amazing!,neutral,visual-lover
the “that that that that” reminds me of skz in double knot with the “da da da da”,neutral,unclear
"HYLT: ""Look at you now look at me""
KTL: ""Look at me, look at you""",neutral,visual-lover
"Nosotros podemos, hagan esfuerzo por BLACKPINK!",neutral,lyrics-lover
THE QUEENS ARE BACK !!!!,neutral,visual-lover
"""Look at you, look at me""
That line was also in Kill this love
And now its heree tooo . WOW",neutral,visual-lover
"Este grupo es de lo mejor llevo días escuchando esta música 
Son genial 
Arriba BLINK!!!!!!!!!",neutral,unclear
"“look at you now look at me”
ok queen",neutral,visual-lover
I love this song 💖💖💖,neutral,music-lover
ya ha pasado un año desde que salió esta canción y cada vez que la escucho es como si la estuviera escuchando por primera vez,neutral,lyrics-lover
Guys let’s break the record juice ayo.  Edit: OMG WE DID IT WE DID IT WE DID IT,neutral,unclear
"BLINKS, VAMOS!!!!
VAMOS MOSTRAR AOS ANTIS QUEM É O MAIOR GG DO KPOP!!!!
1B EM HYLT E 2B EM D4!!!",neutral,unclear
"BLACKPINK IN YOUR AREA, a slogan that will never be forgotten❤.",neutral,lyrics-lover
"Finally PUBGM X Blackpink 
Now enjoy in lobby!!!!!",neutral,music-lover
"We broke the last record AHHH already have 79 million, congratulations blink
Edit: we should broke the new record, go go go blink",neutral,visual-lover
"""Yesterday is a History""
""Tomorrow is a Mystery""
""Today is a Gift thats why we call it as Present'
Let's Make HYLT 1.B BEFORE 1st Year Anniversary!!!!
BLACKPINK IS THE REVOLUTION!",neutral,unclear
''blackpink in your area'' will always forever be in my heart,neutral,lyrics-lover
"Me: _sees an ad_ *don't skip, don't skip!!*",neutral,unclear
