comment_text,like_count,published_at
"""look at you ,now look at me""

yes im looking at you rn",23405,2020-06-26T09:03:08Z
"Não existe uma melhor que a outra, elas brilham juntas.",1982,2021-11-09T03:07:09Z
"YG : how many hairstyles & hair colour do you want to get in mv?

Lisa : Yes.",15631,2020-06-26T09:09:59Z
blackpink comeback with jump sent me back to this comeback. hylt was revolutionary,99,2025-07-11T04:47:53Z
BLACKPINK IN YOUR AREA will forever be an iconic intro...,2190,2024-03-23T18:56:57Z
HOY SE LLEGA A LOS 900 MILLONES ¡VAMOS QUE SE PUEDE!,472,2021-06-23T18:56:30Z
Donde esta todo el fandom Blink??? Solo veo a latinoamericanas apoyando,1607,2021-05-25T01:03:12Z
"it's already jump era,but i am still not over this masterpiece after 5 years,blink forever!",386,2025-07-11T05:24:49Z
Can anyone tell me when they will start promoting on music shows and what shows...,29889,2020-06-26T15:47:02Z
"Mucho talento, perfección y belleza para mis ojos.",4195,2020-06-26T11:45:20Z
"Lisa and Jennie: ""look at you now look at me"" 

Me: I know I am a potato you don't have to call me out like that",5584,2020-06-26T09:13:38Z
"Whos here after JUMP ?
The vibe and nostalgia this song brings is unmatchable . We are never gonna get an amazing song like HYLT blackpink are legends !!",28,2025-07-19T12:48:30Z
Yay the come back is finnaly here and I LOVED it <3,6945,2020-06-26T15:46:49Z
"YG: How many wigs do you want?

Blackpink: Yes.",20111,2020-06-26T09:25:08Z
Blinks de Latinoamérica vamos a darle el billón a HYLT,3312,2021-05-29T17:33:26Z
"오 나의 소녀들, 정말 추억이네요 😭😭😭🖇️✨💋💗",35,2025-07-12T08:50:31Z
"2025,누가 보 고 잇ㅅ 니",1457,2025-06-24T13:38:15Z
"0:41 Rosie, you're so cute",3152,2020-06-26T15:46:39Z
"my brain: how many times you're going to click that replay?
me: yes",10671,2020-06-26T09:30:41Z
"a masterpiece that all people not gonna forget
*BLACKPINK FOREVER*
*BLACKPINK IS THE REVOLUTIONS*",39,2025-07-11T10:01:01Z
"KEEP STR3AMING BLINKS!!
SPOTIFY TOO!!!",580,2020-06-26T15:46:27Z
bruh my head is now repeating “doom doo du dodo do doom” over and over again,3377,2020-06-26T09:04:55Z
The nostalgia I got after listening this song is,371,2025-04-19T00:03:00Z
이게 벌써 5년 전이라고??,35,2025-07-11T13:12:03Z
"2:12 - Rosé: ""the day i fell without my wings""
I knew youre an angel",853,2020-06-26T10:03:06Z
cada vez estamos mas cerca vamos blinks,438,2021-06-10T16:59:41Z
yow this one a diss track for them haters lmao and we see this slaps because they’re so mad,5702,2020-06-26T15:46:23Z
This is always Iconic. 5 yrs but I'll always in awe.,9,2025-07-11T13:17:49Z
"When its starting to premiere and it blacked out
Me panickingggg: wHAATTTTTTTTTT",5180,2020-06-26T09:14:59Z
Now I understand why did jisoo said that boombayah “botta bing botta boom” is a hint,4034,2020-06-26T09:09:24Z
"ya escuché tantas veces y no me aburre, se sigue sintiendo como si se hubiese estrenado recién aaaa, en fin, Blackpink tus patronas",2836,2021-06-10T15:14:42Z
For me HYLT MV remains as the most artistic and cinematic BP mv! The sets are literally so amazing!,0,2025-07-22T06:15:55Z
the “that that that that” reminds me of skz in double knot with the “da da da da”,391,2020-06-26T09:21:33Z
"HYLT: ""Look at you now look at me""
KTL: ""Look at me, look at you""",4163,2020-06-26T09:13:42Z
"Nosotros podemos, hagan esfuerzo por BLACKPINK!",622,2021-11-06T22:05:59Z
THE QUEENS ARE BACK !!!!,9,2025-07-07T22:29:10Z
"""Look at you, look at me""
That line was also in Kill this love
And now its heree tooo . WOW",718,2020-06-26T09:16:44Z
"Este grupo es de lo mejor llevo días escuchando esta música 
Son genial 
Arriba BLINK!!!!!!!!!",575,2022-04-26T14:35:04Z
"“look at you now look at me”
ok queen",1069,2020-06-26T09:08:23Z
I love this song 💖💖💖,5,2025-07-24T02:42:27Z
ya ha pasado un año desde que salió esta canción y cada vez que la escucho es como si la estuviera escuchando por primera vez,134,2021-08-07T19:06:25Z
Guys let’s break the record juice ayo.  Edit: OMG WE DID IT WE DID IT WE DID IT,7348,2020-06-26T15:46:42Z
"BLINKS, VAMOS!!!!
VAMOS MOSTRAR AOS ANTIS QUEM É O MAIOR GG DO KPOP!!!!
1B EM HYLT E 2B EM D4!!!",451,2021-10-16T11:32:18Z
"BLACKPINK IN YOUR AREA, a slogan that will never be forgotten❤.",0,2025-07-11T05:38:05Z
"Finally PUBGM X Blackpink 
Now enjoy in lobby!!!!!",164,2020-09-25T06:07:23Z
"We broke the last record AHHH already have 79 million, congratulations blink
Edit: we should broke the new record, go go go blink",191,2020-06-27T07:41:48Z
"""Yesterday is a History""
""Tomorrow is a Mystery""
""Today is a Gift thats why we call it as Present'
Let's Make HYLT 1.B BEFORE 1st Year Anniversary!!!!
BLACKPINK IS THE REVOLUTION!",630,2021-06-05T11:19:46Z
''blackpink in your area'' will always forever be in my heart,0,2025-07-21T09:50:42Z
"Me: _sees an ad_ *don't skip, don't skip!!*",400,2020-06-26T09:26:38Z
"Lisa  : Look at Me
Me : Yes im looking at you my queen",643,2020-06-26T09:02:12Z
Se mueven más las vistas del dance practice que el M/V,222,2021-04-21T20:13:09Z
Love Blackpink❤,2,2025-07-23T11:16:06Z
BLINKS SOLO AUMENTAMOS 2 MILLONES QUE PASOOOOO SIGAMOS HACIEMDO STR34M,215,2021-05-27T17:26:06Z
""" *BA DA BING BA DA BOOM BOOM BOOM* ""
- Blackpink, June 26th 2020",344,2020-06-26T09:08:48Z
