video_id,video_title,comment_id,comment_text,author_name,like_count,reply_count,published_at,updated_at,comment_length,is_reply,days_since_upload,video_view_count,video_like_count,video_comment_count,video_upload_date,video_description,parent_id,detected_language,comment_type,word_count,hour_of_day,day_of_week,quality_score,sentiment
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgxkeqaTi5I0jf3G7wl4AaABAg,"miss them so bad, no group can compare to the way they make me feel",@cinacina4183,1146,15,2025-07-14 23:19:42+00:00,2025-07-14T23:19:42Z,67,False,30.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,general,15,23,Monday,80,neutral
,,UgxkeqaTi5I0jf3G7wl4AaABAg.AK_JgdkUf6ZAKaL37JKjYz,i swear...i want them back,@your_dearestt,48,0,2025-07-15 08:50:54+00:00,,26,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxkeqaTi5I0jf3G7wl4AaABAg,en,general,5,8,Tuesday,40,neutral
,,UgxkeqaTi5I0jf3G7wl4AaABAg.AK_JgdkUf6ZAKcX7dugIzj,@@your_dearestt yeah…,@yondaiily,5,0,2025-07-16 05:14:51+00:00,,21,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxkeqaTi5I0jf3G7wl4AaABAg,en,general,2,5,Wednesday,20,neutral
,,UgxkeqaTi5I0jf3G7wl4AaABAg.AK_JgdkUf6ZAKh1KAS-Tc_,real,@haerin.tokkii,3,0,2025-07-17 23:13:08+00:00,,4,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxkeqaTi5I0jf3G7wl4AaABAg,ro,general,1,23,Thursday,10,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgyTkkGOkoIQ27kEimh4AaABAg,choi hyunwook is seriously an amazing actor!! i loved the vibes in this mv so i had to come back i miss my girls,@saltasti_c,1480,6,2025-05-01 00:48:24+00:00,2025-05-01T00:48:24Z,112,False,105.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,mv_analysis,24,0,Thursday,100,positive
,,UgyTkkGOkoIQ27kEimh4AaABAg.AHZMDc3ha27AInkxP2tKVp,Sameee I came back for him and for njzzz,@annyeonghaseyomehh4195,20,0,2025-05-31 20:53:14+00:00,,40,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgyTkkGOkoIQ27kEimh4AaABAg,en,general,9,20,Saturday,40,neutral
,,UgyTkkGOkoIQ27kEimh4AaABAg.AHZMDc3ha27AKTFFADk6x6,omgg i was wondering why he looked familiar when i watched this back and he is actually in weak hero 😭😭,@kuchings,8,0,2025-07-12 05:26:11+00:00,,103,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgyTkkGOkoIQ27kEimh4AaABAg,en,general,21,5,Saturday,50,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgxCZ5ZIgntOKIAa8PB4AaABAg,This made me cry. It reminded me of my high school years. I always felt like an observer separate from others and always wished to find my place to fit in and to be understood. I wasn't physically alone but I was always lonely,@Ruribunny,8878,35,2022-12-20 02:00:06+00:00,2022-12-20T02:00:06Z,226,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,general,44,2,Tuesday,90,negative
,,UgxCZ5ZIgntOKIAa8PB4AaABAg.9jqKPhrU0E09jqVNzmCtq6,same,@ans_nny,71,0,2022-12-20 03:35:59+00:00,,4,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxCZ5ZIgntOKIAa8PB4AaABAg,tl,general,1,3,Tuesday,40,neutral
,,UgxCZ5ZIgntOKIAa8PB4AaABAg.9jqKPhrU0E09jqcMq29xi9,Damn just like me fr.,@MegaDenden123,28,0,2022-12-20 04:45:44+00:00,,21,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxCZ5ZIgntOKIAa8PB4AaABAg,sv,general,5,4,Tuesday,40,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgxQb2Zgk2-suMeKLHp4AaABAg,The handsome boy in the back is actually the famous actor CHOI HYUNWOOK,@Luvishyyy,442,0,2025-04-23 08:05:39+00:00,2025-04-23T08:05:39Z,71,False,112.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,general,13,8,Wednesday,60,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgwoD5zn3ehbx5uYb-B4AaABAg,그동안 수많은 교복컨셉을 봤지만 이렇게까지 예전감성을 떠올리게하는건 처음이네.. 미쳤다진짜... 절대적으로 1군이 될수밖에 없는 그룹임..,@sr0505,701,0,2022-12-19 09:58:51+00:00,2022-12-19T09:58:51Z,77,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,ko,general,14,9,Monday,60,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgxBGwEkekuroqbF1sp4AaABAg,"for me this speaks to me on a friendship relationship basis, whereas you feel you weren't part of the group and that you feel you're an outsider where you can only be with them through those lenses, such a beautiful yet hauntingly masterpiece",@jhakegazzingan8878,32278,117,2022-12-19 10:29:01+00:00,2022-12-19T10:29:01Z,242,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,emotional_response,43,10,Monday,100,positive
,,UgxBGwEkekuroqbF1sp4AaABAg.9joerEZeKwW9jofL-Mnmhu,Felt😔,@mostlynana,382,0,2022-12-19 10:33:13+00:00,,5,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxBGwEkekuroqbF1sp4AaABAg,de,general,1,10,Monday,40,neutral
